"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2017-05-06,1,2017-05-13,0.463869698953905,0.01,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.577644460144359,0.025,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.666590990851138,0.05,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.723460813092632,0.1,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.746328469494744,0.15,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.805536716645701,0.2,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.835512941885322,0.25,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.866638037074012,0.3,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.891823707381314,0.35,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.903823069059798,0.4,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.917841753845814,0.45,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.923934108515248,0.5,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.944243499539584,0.55,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.954483851982694,0.6,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.972119609779491,0.65,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,0.996912896569671,0.7,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.02303106170962,0.75,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.05558902917765,0.8,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.12292052914955,0.85,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.30778125254053,0.9,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.42041563672905,0.95,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,1.56146698092446,0.975,"ili perc","quantile"
"HHS Region 1",2017-05-06,1,2017-05-13,2.28803422398223,0.99,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.169178525297327,0.01,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.390480044036715,0.025,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.536692760173696,0.05,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.631509691929625,0.1,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.675757825600244,0.15,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.75819727049587,0.2,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.785303243335085,0.25,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.825772848028397,0.3,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.85322005408438,0.35,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.882086651079514,0.4,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.910136200085889,0.45,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.946351167390762,0.5,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.974825617039342,0.55,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,0.998593468198052,0.6,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.03878357052798,0.65,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.09881157253995,0.7,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.17829242916994,0.75,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.23830844122808,0.8,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.28724909980741,0.85,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.46826736866393,0.9,"ili perc","quantile"
"HHS Region 1",2017-05-06,2,2017-05-20,1.73260038398129,0.95,"ili perc","quantile"
