"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2016-11-26,1,2016-12-03,0.626141395467984,0.01,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.722177090139676,0.025,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.746410214685934,0.05,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.815383606214962,0.1,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.849539437300833,0.15,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.870035893780308,0.2,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.879538333144328,0.25,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.88965789214704,0.3,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.921649121960556,0.35,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.963818639734218,0.4,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,0.982849015713294,0.45,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.00595971537317,0.5,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.01543198287462,0.55,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.03263730398007,0.6,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.05398838457106,0.65,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.06964721784475,0.7,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.11371767692434,0.75,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.16005439963473,0.8,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.17791272560318,0.85,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.26259921375687,0.9,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.3941241959349,0.95,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.50360871227145,0.975,"ili perc","quantile"
"HHS Region 1",2016-11-26,1,2016-12-03,1.91197928540842,0.99,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.534785023884614,0.01,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.540484413983674,0.025,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.569627840352913,0.05,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.659764792343076,0.1,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.739032976359268,0.15,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.782447222015933,0.2,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.822052925385299,0.25,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.85455722258838,0.3,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.893255837212626,0.35,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.908919515308073,0.4,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,0.98022522766878,0.45,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.01230141969626,0.5,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.05394274329254,0.55,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.07929343282575,0.6,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.10433880623779,0.65,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.13932333975443,0.7,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.20711480410495,0.75,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.2666601095792,0.8,"ili perc","quantile"
"HHS Region 1",2016-11-26,2,2016-12-10,1.35375996714127,0.85,"ili perc","quantile"
