"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2017-01-07,1,2017-01-14,0.874235952676875,0.01,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,0.955296932292672,0.025,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,0.975844441621422,0.05,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.2230838585356,0.1,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.33817726166908,0.15,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.37562626894148,0.2,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.4031211432889,0.25,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.44837635555726,0.3,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.49249968875182,0.35,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.55209110069702,0.4,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.57984518412261,0.45,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.60711530798149,0.5,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.65602566537777,0.55,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.68837208655201,0.6,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.71346359447682,0.65,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.75862326380204,0.7,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.79342742427155,0.75,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.88824817588274,0.8,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.93076908855315,0.85,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,1.96774604945672,0.9,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,2.06510427615504,0.95,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,2.22910677971442,0.975,"ili perc","quantile"
"HHS Region 1",2017-01-07,1,2017-01-14,2.73895950955543,0.99,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,0.693820395400492,0.01,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,0.75125330639405,0.025,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,0.899629592369314,0.05,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.01176717223789,0.1,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.10021509101226,0.15,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.210345653328,0.2,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.29861004454364,0.25,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.40302396795379,0.3,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.44717346939698,0.35,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.48394850166782,0.4,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.52678861300524,0.45,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.57774926844899,0.5,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.59795011655605,0.55,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.64361479284784,0.6,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.70052762122869,0.65,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.75792072281593,0.7,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.82115341250784,0.75,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.87587321928666,0.8,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,1.97262324870066,0.85,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,2.05189247531652,0.9,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,2.4753562634636,0.95,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,2.70692667534567,0.975,"ili perc","quantile"
"HHS Region 1",2017-01-07,2,2017-01-21,2.80734328249986,0.99,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,0.585544906038953,0.01,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,0.699289969267293,0.025,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,0.809412788652584,0.05,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,0.958983980235841,0.1,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,0.98629844147501,0.15,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.10813696987358,0.2,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.24302798149102,0.25,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.31491545050755,0.3,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.35800516894595,0.35,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.46343029969658,0.4,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.50933045793983,0.45,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.56475710576246,0.5,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.60210110992816,0.55,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.63320094276868,0.6,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.66475714480924,0.65,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.73224909019292,0.7,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.82168968585244,0.75,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,1.90916420978984,0.8,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,2.07537919992384,0.85,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,2.1795314098535,0.9,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,2.47830394897851,0.95,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,2.8417369996814,0.975,"ili perc","quantile"
"HHS Region 1",2017-01-07,3,2017-01-28,3.10138493951264,0.99,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,0.417596412243126,0.01,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,0.561673346987777,0.025,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,0.654647650462198,0.05,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,0.902548943105309,0.1,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.07633054276752,0.15,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.12632167532677,0.2,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.19051718038486,0.25,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.26804772464146,0.3,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.29787362738519,0.35,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.34850131192292,0.4,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.40479809526022,0.45,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.46916563888358,0.5,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.51109031039108,0.55,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.62766904001963,0.6,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.68276575811913,0.65,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.75342014735455,0.7,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.80538821546807,0.75,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,1.95001012098735,0.8,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,2.00414753129604,0.85,"ili perc","quantile"
"HHS Region 1",2017-01-07,4,2017-02-04,2.42829003043077,0.9,"ili perc","quantile"
