"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2020-02-01,2020-02-08,1,"1%",0.01,3.05327459411308,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"2.5%",0.025,3.05327459411308,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"5%",0.05,3.21314649123656,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"10%",0.1,3.49628010649803,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"15%",0.15,3.59983619700597,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"20%",0.2,3.85854118583666,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"25%",0.25,4.14234716438887,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"30%",0.3,4.24245169876804,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"35%",0.35,4.39571470716078,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"40%",0.4,4.49810623662006,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"45%",0.45,4.65124461561345,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"50%",0.5,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"55%",0.55,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"60%",0.6,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"65%",0.65,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"70%",0.7,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"75%",0.75,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"80%",0.8,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"85%",0.85,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"90%",0.9,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"95%",0.95,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"97.5%",0.975,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-08,1,"99%",0.99,1784.64453766902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"1%",0.01,3.19994351815126,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"2.5%",0.025,3.19994351815126,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"5%",0.05,3.32519233151515,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"10%",0.1,3.55715537660535,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"15%",0.15,3.65378482912365,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"20%",0.2,3.91366631373967,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"25%",0.25,4.19397943912691,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"30%",0.3,4.28818695920427,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"35%",0.35,4.45890361720421,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"40%",0.4,4.55614874921184,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"45%",0.45,4.69900316091616,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"50%",0.5,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"55%",0.55,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"60%",0.6,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"65%",0.65,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"70%",0.7,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"75%",0.75,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"80%",0.8,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"85%",0.85,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"90%",0.9,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"95%",0.95,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"97.5%",0.975,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-15,2,"99%",0.99,2166.42320387728,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"1%",0.01,3.14523780455033,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"2.5%",0.025,3.14523780455033,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"5%",0.05,3.26538557250797,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"10%",0.1,3.48879663673279,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"15%",0.15,3.5797438762238,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"20%",0.2,3.84483048458378,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"25%",0.25,4.12145233701403,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"30%",0.3,4.22144911891337,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"35%",0.35,4.40556752300154,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"40%",0.4,4.50120018225971,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"45%",0.45,4.64822599655918,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"50%",0.5,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"55%",0.55,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"60%",0.6,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"65%",0.65,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"70%",0.7,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"75%",0.75,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"80%",0.8,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"85%",0.85,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"90%",0.9,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"95%",0.95,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"97.5%",0.975,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-22,3,"99%",0.99,2062.07497450298,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"1%",0.01,3.12595898444954,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"2.5%",0.025,3.12595898444954,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"5%",0.05,3.23581203355343,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"10%",0.1,3.44317342881027,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"15%",0.15,3.52821952944032,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"20%",0.2,3.79780252396199,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"25%",0.25,4.07076801049902,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"30%",0.3,4.17449814258885,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"35%",0.35,4.37273112510434,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"40%",0.4,4.46612960485072,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"45%",0.45,4.61478375646561,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"50%",0.5,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"55%",0.55,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"60%",0.6,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"65%",0.65,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"70%",0.7,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"75%",0.75,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"80%",0.8,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"85%",0.85,2043.24876497858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-01,2020-02-29,4,"90%",0.9,2043.24876497858,"ili perc","quantile","hhs1"
